event_id,source,latitude,longitude,event_date,date_precision,state,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_available,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,landslide,missing_dem,missing_rainfall
29,GSI,24.64,92.98,2019,year,Assam,,,,,False,,,,,,False,1,True,True
30,GSI,24.645417,93.005361,2016-08-31,day,Assam,,,,,False,,,,,,False,1,True,True
31,GSI,24.659389,92.497361,2016-05-18,day,Assam,,,,,False,,,,,,False,1,True,True
32,GSI,24.70364,92.64681,2020,year,Assam,,,,,False,,,,,,False,1,True,True
33,GSI,24.70619,92.28997,,none,Assam,,,,,False,,,,,,False,1,True,True
34,GSI,24.70656,92.65008,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
35,GSI,24.710833,92.481167,2010-06-03,day,Assam,,,,,False,,,,,,False,1,True,True
36,GSI,24.72192,92.90381,2020-06-05,day,Assam,,,,,False,,,,,,False,1,True,True
37,GSI,24.73117,92.64739,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
38,GSI,24.78002778,92.45372222,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
39,GSI,24.78380556,92.45563889,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
40,GSI,24.79489,92.55506,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
41,GSI,24.795892,93.045425,,none,Assam,,,,,False,,,,,,False,1,True,True
42,GSI,24.813648,93.073009,,none,Assam,,,,,False,,,,,,False,1,True,True
43,GSI,24.92097,93.07306,2020-06-02,day,Assam,,,,,False,,,,,,False,1,True,True
44,GSI,24.93,92.84,,none,Assam,,,,,False,,,,,,False,1,True,True
45,GSI,24.95,92.73,2018,year,Assam,,,,,False,,,,,,False,1,True,True
46,GSI,24.95,92.8,,none,Assam,,,,,False,,,,,,False,1,True,True
47,GSI,24.96,92.92,,none,Assam,,,,,False,,,,,,False,1,True,True
48,GSI,24.96,92.7,,none,Assam,,,,,False,,,,,,False,1,True,True
49,GSI,24.96,92.7,,none,Assam,,,,,False,,,,,,False,1,True,True
50,GSI,24.96,92.95,,none,Assam,,,,,False,,,,,,False,1,True,True
51,GSI,24.96,92.66,,none,Assam,,,,,False,,,,,,False,1,True,True
52,GSI,24.96,92.66,,none,Assam,,,,,False,,,,,,False,1,True,True
53,GSI,24.96,92.98,,none,Assam,,,,,False,,,,,,False,1,True,True
54,GSI,24.97,92.76,,none,Assam,,,,,False,,,,,,False,1,True,True
55,GSI,24.97,92.72,,none,Assam,,,,,False,,,,,,False,1,True,True
56,GSI,24.97,92.72,,none,Assam,,,,,False,,,,,,False,1,True,True
57,GSI,24.97,92.72,2017,year,Assam,,,,,False,,,,,,False,1,True,True
58,GSI,24.97228,93.03289,,none,Assam,,,,,False,,,,,,False,1,True,True
59,GSI,24.97692,93.033,,none,Assam,,,,,False,,,,,,False,1,True,True
60,GSI,24.97714,93.03344,,none,Assam,,,,,False,,,,,,False,1,True,True
61,GSI,24.98,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
62,GSI,24.98,92.96,,none,Assam,,,,,False,,,,,,False,1,True,True
63,GSI,24.98,92.72,,none,Assam,,,,,False,,,,,,False,1,True,True
64,GSI,24.99,92.6,,none,Assam,,,,,False,,,,,,False,1,True,True
65,GSI,24.99,92.45,2016,year,Assam,,,,,False,,,,,,False,1,True,True
66,GSI,24.99,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
67,GSI,24.993,93.161583,,none,Assam,,,,,False,,,,,,False,1,True,True
68,GSI,24.99561,93.16261,,none,Assam,,,,,False,,,,,,False,1,True,True
69,GSI,25.0,92.43,,none,Assam,,,,,False,,,,,,False,1,True,True
70,GSI,25.003,93.164,,none,Assam,,,,,False,,,,,,False,1,True,True
71,GSI,25.008,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
72,GSI,25.01,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
73,GSI,25.01,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
74,GSI,25.01,92.75,,none,Assam,,,,,False,,,,,,False,1,True,True
75,GSI,25.01,92.73,,none,Assam,,,,,False,,,,,,False,1,True,True
76,GSI,25.010379,92.75482,,none,Assam,,,,,False,,,,,,False,1,True,True
77,GSI,25.01856,92.77011,,none,Assam,,,,,False,,,,,,False,1,True,True
78,GSI,25.019029,92.770549,,none,Assam,,,,,False,,,,,,False,1,True,True
79,GSI,25.02,92.52,2019,year,Assam,,,,,False,,,,,,False,1,True,True
80,GSI,25.02,92.52,2019,year,Assam,,,,,False,,,,,,False,1,True,True
81,GSI,25.029708,92.463967,2015,year,Assam,,,,,False,,,,,,False,1,True,True
82,GSI,25.031431,92.463231,2015,year,Assam,,,,,False,,,,,,False,1,True,True
83,GSI,25.032119,92.462636,2015,year,Assam,,,,,False,,,,,,False,1,True,True
84,GSI,25.032989,92.462214,2015,year,Assam,,,,,False,,,,,,False,1,True,True
85,GSI,25.034948,92.778753,,none,Assam,,,,,False,,,,,,False,1,True,True
86,GSI,25.0365,92.780417,,none,Assam,,,,,False,,,,,,False,1,True,True
87,GSI,25.037203,92.450339,2015,year,Assam,,,,,False,,,,,,False,1,True,True
88,GSI,25.039722,92.781889,,none,Assam,,,,,False,,,,,,False,1,True,True
89,GSI,25.041083,92.783111,,none,Assam,,,,,False,,,,,,False,1,True,True
90,GSI,25.046444,92.789667,,none,Assam,,,,,False,,,,,,False,1,True,True
91,GSI,25.046778,92.790111,,none,Assam,,,,,False,,,,,,False,1,True,True
92,GSI,25.047417,92.793389,,none,Assam,,,,,False,,,,,,False,1,True,True
93,GSI,25.04783,92.78931,,none,Assam,,,,,False,,,,,,False,1,True,True
94,GSI,25.049417,92.796722,,none,Assam,,,,,False,,,,,,False,1,True,True
95,GSI,25.049444,92.79725,,none,Assam,,,,,False,,,,,,False,1,True,True
96,GSI,25.049917,92.799667,,none,Assam,,,,,False,,,,,,False,1,True,True
97,GSI,25.054917,92.800333,,none,Assam,,,,,False,,,,,,False,1,True,True
98,GSI,25.056611,92.801722,,none,Assam,,,,,False,,,,,,False,1,True,True
99,GSI,25.060088,92.807089,,none,Assam,,,,,False,,,,,,False,1,True,True
100,GSI,25.060944,92.80675,,none,Assam,,,,,False,,,,,,False,1,True,True
101,GSI,25.061375,92.795906,,none,Assam,,,,,False,,,,,,False,1,True,True
102,GSI,25.061417,92.806833,,none,Assam,,,,,False,,,,,,False,1,True,True
103,GSI,25.061847,92.79345,,none,Assam,,,,,False,,,,,,False,1,True,True
104,GSI,25.063378,92.795536,,none,Assam,,,,,False,,,,,,False,1,True,True
105,GSI,25.063472,92.807796,,none,Assam,,,,,False,,,,,,False,1,True,True
106,GSI,25.07,93.29,,none,Assam,,,,,False,,,,,,False,1,True,True
107,GSI,25.072636,92.794514,,none,Assam,,,,,False,,,,,,False,1,True,True
108,GSI,25.073228,92.814734,,none,Assam,,,,,False,,,,,,False,1,True,True
109,GSI,25.078935,92.95379,,none,Assam,,,,,False,,,,,,False,1,True,True
110,GSI,25.088389,92.958944,,none,Assam,,,,,False,,,,,,False,1,True,True
111,GSI,25.1,93.28,,none,Assam,,,,,False,,,,,,False,1,True,True
114,GSI,25.10275,92.986944,,none,Assam,,,,,False,,,,,,False,1,True,True
115,GSI,25.10292,92.986883,,none,Assam,,,,,False,,,,,,False,1,True,True
116,GSI,25.105414,92.972784,,none,Assam,,,,,False,,,,,,False,1,True,True
117,GSI,25.106,93.001,,none,Assam,,,,,False,,,,,,False,1,True,True
118,GSI,25.106956,92.991363,,none,Assam,,,,,False,,,,,,False,1,True,True
119,GSI,25.107,93.002,,none,Assam,,,,,False,,,,,,False,1,True,True
120,GSI,25.107546,92.885543,,none,Assam,,,,,False,,,,,,False,1,True,True
121,GSI,25.108,93.003,,none,Assam,,,,,False,,,,,,False,1,True,True
122,GSI,25.108759,92.978048,,none,Assam,,,,,False,,,,,,False,1,True,True
123,GSI,25.108806,92.975139,,none,Assam,,,,,False,,,,,,False,1,True,True
124,GSI,25.108877,92.929125,,none,Assam,,,,,False,,,,,,False,1,True,True
125,GSI,25.11219,92.86881,,none,Assam,,,,,False,,,,,,False,1,True,True
126,GSI,25.11286,92.87756,,none,Assam,,,,,False,,,,,,False,1,True,True
127,GSI,25.11297,92.95433,,none,Assam,,,,,False,,,,,,False,1,True,True
128,GSI,25.118,93.014,,none,Assam,,,,,False,,,,,,False,1,True,True
129,GSI,25.119,93.017,,none,Assam,,,,,False,,,,,,False,1,True,True
130,GSI,25.119,93.018,,none,Assam,,,,,False,,,,,,False,1,True,True
131,GSI,25.12,93.02,,none,Assam,,,,,False,,,,,,False,1,True,True
132,GSI,25.121,92.915028,2010-06-20,day,Assam,,,,,False,,,,,,False,1,True,True
133,GSI,25.122,93.025,2014,year,Assam,,,,,False,,,,,,False,1,True,True
134,GSI,25.122,93.026,2014,year,Assam,,,,,False,,,,,,False,1,True,True
135,GSI,25.123,93.034,2014,year,Assam,,,,,False,,,,,,False,1,True,True
136,GSI,25.123,93.033,2014,year,Assam,,,,,False,,,,,,False,1,True,True
137,GSI,25.124306,92.904278,2010-04-02,day,Assam,,,,,False,,,,,,False,1,True,True
138,GSI,25.124583,92.989111,2010-06-16,day,Assam,,,,,False,,,,,,False,1,True,True
139,GSI,25.12906,92.97418,,none,Assam,,,,,False,,,,,,False,1,True,True
140,GSI,25.13,93.27,,none,Assam,,,,,False,,,,,,False,1,True,True
141,GSI,25.13,93.29,,none,Assam,,,,,False,,,,,,False,1,True,True
142,GSI,25.134,93.045,2014,year,Assam,,,,,False,,,,,,False,1,True,True
143,GSI,25.134472,93.018972,2016,year,Assam,,,,,False,,,,,,False,1,True,True
144,GSI,25.135,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
145,GSI,25.135,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
146,GSI,25.136,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
147,GSI,25.137,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
148,GSI,25.137,93.034,2014,year,Assam,,,,,False,,,,,,False,1,True,True
149,GSI,25.137,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
150,GSI,25.137,93.018,2014,year,Assam,,,,,False,,,,,,False,1,True,True
151,GSI,25.139,93.025,2014,year,Assam,,,,,False,,,,,,False,1,True,True
152,GSI,25.139,93.025,,none,Assam,,,,,False,,,,,,False,1,True,True
153,GSI,25.139,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
154,GSI,25.139611,93.019556,2016,year,Assam,,,,,False,,,,,,False,1,True,True
155,GSI,25.14,93.31,,none,Assam,,,,,False,,,,,,False,1,True,True
156,GSI,25.14,93.3,2018,year,Assam,,,,,False,,,,,,False,1,True,True
157,GSI,25.140417,93.020389,2014,year,Assam,,,,,False,,,,,,False,1,True,True
158,GSI,25.142,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
159,GSI,25.142,93.04,2014,year,Assam,,,,,False,,,,,,False,1,True,True
160,GSI,25.145,93.158,,none,Assam,,,,,False,,,,,,False,1,True,True
161,GSI,25.14525,93.029167,2016,year,Assam,,,,,False,,,,,,False,1,True,True
162,GSI,25.145861,93.024194,2016,year,Assam,,,,,False,,,,,,False,1,True,True
163,GSI,25.146306,93.942167,2018-06-14,day,Assam,,,,,False,,,,,,False,1,True,True
164,GSI,25.146778,93.030972,2016,year,Assam,,,,,False,,,,,,False,1,True,True
165,GSI,25.148722,93.031917,2016,year,Assam,,,,,False,,,,,,False,1,True,True
166,GSI,25.15,93.37,,none,Assam,,,,,False,,,,,,False,1,True,True
167,GSI,25.150694,93.025833,2016,year,Assam,,,,,False,,,,,,False,1,True,True
168,GSI,25.155,93.067,2014,year,Assam,,,,,False,,,,,,False,1,True,True
169,GSI,25.155,93.067,2014,year,Assam,,,,,False,,,,,,False,1,True,True
170,GSI,25.155,93.073,2014,year,Assam,,,,,False,,,,,,False,1,True,True
171,GSI,25.155611,93.022222,2016,year,Assam,,,,,False,,,,,,False,1,True,True
172,GSI,25.155722,93.022778,2016,year,Assam,,,,,False,,,,,,False,1,True,True
173,GSI,25.156,93.018,2014,year,Assam,,,,,False,,,,,,False,1,True,True
174,GSI,25.156389,93.018389,2016,year,Assam,,,,,False,,,,,,False,1,True,True
175,GSI,25.156583,93.019611,2016,year,Assam,,,,,False,,,,,,False,1,True,True
176,GSI,25.156694,93.017667,1998,year,Assam,,,,,False,,,,,,False,1,True,True
177,GSI,25.157,93.062,2014,year,Assam,,,,,False,,,,,,False,1,True,True
178,GSI,25.157,93.066,2014,year,Assam,,,,,False,,,,,,False,1,True,True
179,GSI,25.157139,93.017194,2016,year,Assam,,,,,False,,,,,,False,1,True,True
180,GSI,25.157361,93.016083,2016,year,Assam,,,,,False,,,,,,False,1,True,True
181,GSI,25.159333,93.017,2016,year,Assam,,,,,False,,,,,,False,1,True,True
182,GSI,25.163444,93.023167,2016,year,Assam,,,,,False,,,,,,False,1,True,True
183,GSI,25.164,93.040194,2016,year,Assam,,,,,False,,,,,,False,1,True,True
184,GSI,25.165639,93.025444,2016,year,Assam,,,,,False,,,,,,False,1,True,True
185,GSI,25.169,93.155,,none,Assam,,,,,False,,,,,,False,1,True,True
186,GSI,25.169,93.156,,none,Assam,,,,,False,,,,,,False,1,True,True
187,GSI,25.17,93.36,,none,Assam,,,,,False,,,,,,False,1,True,True
188,GSI,25.17,93.29,,none,Assam,,,,,False,,,,,,False,1,True,True
189,GSI,25.171889,93.003944,2016,year,Assam,,,,,False,,,,,,False,1,True,True
190,GSI,25.175056,93.020417,2016,year,Assam,,,,,False,,,,,,False,1,True,True
191,GSI,25.175972,93.020167,2016,year,Assam,,,,,False,,,,,,False,1,True,True
192,GSI,25.176389,93.116139,2016,year,Assam,,,,,False,,,,,,False,1,True,True
193,GSI,25.176917,93.026556,2014,year,Assam,,,,,False,,,,,,False,1,True,True
194,GSI,25.177028,93.020889,2016,year,Assam,,,,,False,,,,,,False,1,True,True
195,GSI,25.1775,93.026222,2014,year,Assam,,,,,False,,,,,,False,1,True,True
196,GSI,25.179861,93.070778,2016,year,Assam,,,,,False,,,,,,False,1,True,True
197,GSI,25.18,93.33,,none,Assam,,,,,False,,,,,,False,1,True,True
198,GSI,25.18,93.3,,none,Assam,,,,,False,,,,,,False,1,True,True
201,GSI,25.184528,93.125639,2016,year,Assam,,,,,False,,,,,,False,1,True,True
202,GSI,25.186,93.104,2014,year,Assam,,,,,False,,,,,,False,1,True,True
203,GSI,25.18725,93.120556,2016,year,Assam,,,,,False,,,,,,False,1,True,True
204,GSI,25.188,93.066,2014,year,Assam,,,,,False,,,,,,False,1,True,True
205,GSI,25.188444,93.019667,2016,year,Assam,,,,,False,,,,,,False,1,True,True
206,GSI,25.189,93.192,,none,Assam,,,,,False,,,,,,False,1,True,True
207,GSI,25.189,93.226,,none,Assam,,,,,False,,,,,,False,1,True,True
208,GSI,25.189556,93.096417,2016,year,Assam,,,,,False,,,,,,False,1,True,True
209,GSI,25.19,93.191,,none,Assam,,,,,False,,,,,,False,1,True,True
210,GSI,25.19,93.3,,none,Assam,,,,,False,,,,,,False,1,True,True
213,GSI,25.191,93.192,,none,Assam,,,,,False,,,,,,False,1,True,True
214,GSI,25.193083,93.120417,2016,year,Assam,,,,,False,,,,,,False,1,True,True
215,GSI,25.196694,93.018583,2016,year,Assam,,,,,False,,,,,,False,1,True,True
216,GSI,25.199722,93.016722,2016,year,Assam,,,,,False,,,,,,False,1,True,True
217,GSI,25.2,93.25,,none,Assam,,,,,False,,,,,,False,1,True,True
219,GSI,25.201,93.122,2014,year,Assam,,,,,False,,,,,,False,1,True,True
220,GSI,25.204,93.059,,none,Assam,,,,,False,,,,,,False,1,True,True
221,GSI,25.204556,93.138889,2016,year,Assam,,,,,False,,,,,,False,1,True,True
222,GSI,25.205,93.059,,none,Assam,,,,,False,,,,,,False,1,True,True
223,GSI,25.205,93.008,,none,Assam,,,,,False,,,,,,False,1,True,True
224,GSI,25.205528,93.020139,2016,year,Assam,,,,,False,,,,,,False,1,True,True
225,GSI,25.206,93.126,2014,year,Assam,,,,,False,,,,,,False,1,True,True
226,GSI,25.207389,93.122778,2016,year,Assam,,,,,False,,,,,,False,1,True,True
227,GSI,25.208,93.121,2014,year,Assam,,,,,False,,,,,,False,1,True,True
228,GSI,25.21,93.25,,none,Assam,,,,,False,,,,,,False,1,True,True
229,GSI,25.21,93.31,,none,Assam,,,,,False,,,,,,False,1,True,True
231,GSI,25.214944,93.021611,2016,year,Assam,,,,,False,,,,,,False,1,True,True
232,GSI,25.216881,92.982245,,none,Assam,,,,,False,,,,,,False,1,True,True
233,GSI,25.216944,93.011361,2016,year,Assam,,,,,False,,,,,,False,1,True,True
234,GSI,25.2185,93.013111,2016,year,Assam,,,,,False,,,,,,False,1,True,True
235,GSI,25.22,93.29,,none,Assam,,,,,False,,,,,,False,1,True,True
237,GSI,25.22,93.34,,none,Assam,,,,,False,,,,,,False,1,True,True
239,GSI,25.22,93.35,,none,Assam,,,,,False,,,,,,False,1,True,True
240,GSI,25.22,93.32,,none,Assam,,,,,False,,,,,,False,1,True,True
242,GSI,25.224278,93.222861,2018-06-14,day,Assam,,,,,False,,,,,,False,1,True,True
243,GSI,25.229556,93.1556,2010-04-02,day,Assam,,,,,False,,,,,,False,1,True,True
244,GSI,25.23,93.34,,none,Assam,,,,,False,,,,,,False,1,True,True
245,GSI,25.23,93.29,2018,year,Assam,,,,,False,,,,,,False,1,True,True
246,GSI,25.238045,92.801279,,none,Assam,,,,,False,,,,,,False,1,True,True
247,GSI,25.24,93.28,,none,Assam,,,,,False,,,,,,False,1,True,True
248,GSI,25.24,93.27,,none,Assam,,,,,False,,,,,,False,1,True,True
250,GSI,25.242,93.14,2014,year,Assam,,,,,False,,,,,,False,1,True,True
251,GSI,25.257696,92.809603,,none,Assam,,,,,False,,,,,,False,1,True,True
252,GSI,25.263528,93.390611,,none,Assam,,,,,False,,,,,,False,1,True,True
253,GSI,25.264056,93.409528,,none,Assam,,,,,False,,,,,,False,1,True,True
254,GSI,25.278472,93.252972,,none,Assam,,,,,False,,,,,,False,1,True,True
255,GSI,25.278917,93.253194,,none,Assam,,,,,False,,,,,,False,1,True,True
256,GSI,25.282861,93.296111,,none,Assam,,,,,False,,,,,,False,1,True,True
257,GSI,25.290089,92.799175,,none,Assam,,,,,False,,,,,,False,1,True,True
258,GSI,25.308028,93.471028,,none,Assam,,,,,False,,,,,,False,1,True,True
259,GSI,25.309111,93.470694,,none,Assam,,,,,False,,,,,,False,1,True,True
260,GSI,25.320232,92.818091,,none,Assam,,,,,False,,,,,,False,1,True,True
261,GSI,25.323731,92.80751,,none,Assam,,,,,False,,,,,,False,1,True,True
262,GSI,25.328139,93.334056,,none,Assam,,,,,False,,,,,,False,1,True,True
263,GSI,25.332083,93.334639,,none,Assam,,,,,False,,,,,,False,1,True,True
264,GSI,25.336054,92.82053,,none,Assam,,,,,False,,,,,,False,1,True,True
265,GSI,25.362583,93.257722,,none,Assam,,,,,False,,,,,,False,1,True,True
266,GSI,25.369972,93.260306,,none,Assam,,,,,False,,,,,,False,1,True,True
267,GSI,25.387,93.12,,none,Assam,,,,,False,,,,,,False,1,True,True
268,GSI,25.394111,93.410417,,none,Assam,,,,,False,,,,,,False,1,True,True
269,GSI,25.395431,92.990267,,none,Assam,,,,,False,,,,,,False,1,True,True
270,GSI,25.398083,93.297528,,none,Assam,,,,,False,,,,,,False,1,True,True
271,GSI,25.402333,93.407583,,none,Assam,,,,,False,,,,,,False,1,True,True
272,GSI,25.402472,93.390444,,none,Assam,,,,,False,,,,,,False,1,True,True
273,GSI,25.4025,93.392194,,none,Assam,,,,,False,,,,,,False,1,True,True
274,GSI,25.404,93.132,,none,Assam,,,,,False,,,,,,False,1,True,True
275,GSI,25.405,93.133,,none,Assam,,,,,False,,,,,,False,1,True,True
276,GSI,25.405,93.372194,,none,Assam,,,,,False,,,,,,False,1,True,True
277,GSI,25.40837,92.82826,,none,Assam,,,,,False,,,,,,False,1,True,True
278,GSI,25.408497,93.283436,,none,Assam,,,,,False,,,,,,False,1,True,True
279,GSI,25.410611,93.284,,none,Assam,,,,,False,,,,,,False,1,True,True
280,GSI,25.416056,93.284222,,none,Assam,,,,,False,,,,,,False,1,True,True
281,GSI,25.41616,92.778653,,none,Assam,,,,,False,,,,,,False,1,True,True
282,GSI,25.417333,93.129083,2015,year,Assam,,,,,False,,,,,,False,1,True,True
283,GSI,25.417528,93.372528,,none,Assam,,,,,False,,,,,,False,1,True,True
284,GSI,25.42,93.002,2014,year,Assam,,,,,False,,,,,,False,1,True,True
285,GSI,25.420278,93.371306,,none,Assam,,,,,False,,,,,,False,1,True,True
286,GSI,25.420806,93.371056,,none,Assam,,,,,False,,,,,,False,1,True,True
287,GSI,25.421333,93.370361,,none,Assam,,,,,False,,,,,,False,1,True,True
288,GSI,25.422535,92.989119,,none,Assam,,,,,False,,,,,,False,1,True,True
289,GSI,25.423438,92.985022,,none,Assam,,,,,False,,,,,,False,1,True,True
290,GSI,25.423806,93.369722,,none,Assam,,,,,False,,,,,,False,1,True,True
291,GSI,25.423861,93.369417,,none,Assam,,,,,False,,,,,,False,1,True,True
292,GSI,25.424,93.0,2014,year,Assam,,,,,False,,,,,,False,1,True,True
293,GSI,25.4255,93.363944,,none,Assam,,,,,False,,,,,,False,1,True,True
294,GSI,25.425611,93.364444,,none,Assam,,,,,False,,,,,,False,1,True,True
295,GSI,25.428597,93.312597,,none,Assam,,,,,False,,,,,,False,1,True,True
296,GSI,25.433903,93.328944,,none,Assam,,,,,False,,,,,,False,1,True,True
297,GSI,25.434031,92.885056,,none,Assam,,,,,False,,,,,,False,1,True,True
298,GSI,25.435639,93.405944,,none,Assam,,,,,False,,,,,,False,1,True,True
299,GSI,25.435917,93.455944,,none,Assam,,,,,False,,,,,,False,1,True,True
300,GSI,25.4365,93.402333,,none,Assam,,,,,False,,,,,,False,1,True,True
301,GSI,25.436528,93.4065,,none,Assam,,,,,False,,,,,,False,1,True,True
302,GSI,25.436639,93.405917,,none,Assam,,,,,False,,,,,,False,1,True,True
303,GSI,25.436694,93.402944,,none,Assam,,,,,False,,,,,,False,1,True,True
304,GSI,25.436861,93.404583,,none,Assam,,,,,False,,,,,,False,1,True,True
305,GSI,25.436972,93.454111,,none,Assam,,,,,False,,,,,,False,1,True,True
306,GSI,25.437111,93.403639,,none,Assam,,,,,False,,,,,,False,1,True,True
307,GSI,25.4375,93.404444,,none,Assam,,,,,False,,,,,,False,1,True,True
308,GSI,25.437722,93.349889,,none,Assam,,,,,False,,,,,,False,1,True,True
309,GSI,25.438694,93.362583,,none,Assam,,,,,False,,,,,,False,1,True,True
310,GSI,25.438723,92.912025,,none,Assam,,,,,False,,,,,,False,1,True,True
311,GSI,25.439372,93.354197,,none,Assam,,,,,False,,,,,,False,1,True,True
312,GSI,25.441734,92.892033,,none,Assam,,,,,False,,,,,,False,1,True,True
313,GSI,25.441757,92.907383,,none,Assam,,,,,False,,,,,,False,1,True,True
314,GSI,25.443082,92.989873,,none,Assam,,,,,False,,,,,,False,1,True,True
315,GSI,25.443417,93.421444,,none,Assam,,,,,False,,,,,,False,1,True,True
316,GSI,25.443639,93.431444,,none,Assam,,,,,False,,,,,,False,1,True,True
317,GSI,25.443861,93.426222,,none,Assam,,,,,False,,,,,,False,1,True,True
318,GSI,25.443972,93.422778,,none,Assam,,,,,False,,,,,,False,1,True,True
319,GSI,25.444028,93.4265,,none,Assam,,,,,False,,,,,,False,1,True,True
320,GSI,25.444167,93.425528,,none,Assam,,,,,False,,,,,,False,1,True,True
321,GSI,25.444194,93.424694,,none,Assam,,,,,False,,,,,,False,1,True,True
322,GSI,25.444306,93.423944,,none,Assam,,,,,False,,,,,,False,1,True,True
323,GSI,25.446056,93.408583,,none,Assam,,,,,False,,,,,,False,1,True,True
324,GSI,25.447528,93.364417,,none,Assam,,,,,False,,,,,,False,1,True,True
325,GSI,25.449056,93.370861,,none,Assam,,,,,False,,,,,,False,1,True,True
326,GSI,25.452278,93.394333,,none,Assam,,,,,False,,,,,,False,1,True,True
327,GSI,25.453167,93.394667,,none,Assam,,,,,False,,,,,,False,1,True,True
328,GSI,25.453528,93.371194,,none,Assam,,,,,False,,,,,,False,1,True,True
329,GSI,25.453611,93.371389,,none,Assam,,,,,False,,,,,,False,1,True,True
330,GSI,25.454083,93.375972,,none,Assam,,,,,False,,,,,,False,1,True,True
331,GSI,25.455333,93.374472,,none,Assam,,,,,False,,,,,,False,1,True,True
332,GSI,25.462361,93.384306,,none,Assam,,,,,False,,,,,,False,1,True,True
333,GSI,25.50669,93.10536,2015,year,Assam,,,,,False,,,,,,False,1,True,True
334,GSI,25.513567,92.784825,,none,Assam,,,,,False,,,,,,False,1,True,True
335,GSI,25.51402,92.765435,,none,Assam,,,,,False,,,,,,False,1,True,True
336,GSI,25.569,92.71653,,none,Assam,,,,,False,,,,,,False,1,True,True
337,GSI,25.57994,92.72822,,none,Assam,,,,,False,,,,,,False,1,True,True
338,GSI,25.61092,93.09178,2015,year,Assam,,,,,False,,,,,,False,1,True,True
339,GSI,25.64897,93.12083,2015,year,Assam,,,,,False,,,,,,False,1,True,True
